signal_id,direction,signal_bar_utc,decision_utc,initial_entry,initial_sl,initial_tp,signal_ema,signal_adx,status,signal_bar_utc_chart_label,decision_utc_chart_label
1,SELL,2026-04-27 09:00:00+00:00,2026-04-27 09:15:00+00:00,4713.78,4719.88,4707.68,4708.160566444863,28.149162540457674,CANCELLED,2026.04.27 12:00:00,2026.04.27 12:15:00
2,SELL,2026-04-28 06:00:00+00:00,2026-04-28 06:15:00+00:00,4671.4,4679.88,4662.92,4687.349213722181,28.43315809931562,CANCELLED,2026.04.28 09:00:00,2026.04.28 09:15:00
3,BUY,2026-04-28 20:15:00+00:00,2026-04-28 20:30:00+00:00,4588.66,4581.49,4595.83,4610.91430065353,24.98829681936633,CANCELLED,2026.04.28 23:15:00,2026.04.28 23:30:00
4,SELL,2026-04-29 04:30:00+00:00,2026-04-29 04:45:00+00:00,4586.58,4604.06,4569.1,4600.924742349857,15.65503340977122,CANCELLED,2026.04.29 07:30:00,2026.04.29 07:45:00
5,BUY,2026-04-29 12:15:00+00:00,2026-04-29 12:30:00+00:00,4570.3,4557.25,4583.35,4590.2016608051445,28.115270354473378,CANCELLED,2026.04.29 15:15:00,2026.04.29 15:30:00
6,SELL,2026-04-30 07:45:00+00:00,2026-04-30 08:00:00+00:00,4547.73,4556.73,4538.73,4558.287529471885,22.31850793761061,SL,2026.04.30 10:45:00,2026.04.30 11:00:00
7,BUY,2026-04-30 10:15:00+00:00,2026-04-30 10:30:00+00:00,4586.26,4569.58,4602.94,4562.51439263691,24.832428457157803,CANCELLED,2026.04.30 13:15:00,2026.04.30 13:30:00
8,SELL,2026-05-01 23:00:00+00:00,2026-05-01 23:15:00+00:00,4614.72,4627.19,4602.25,4614.258221969588,23.98805871328328,CANCELLED,2026.05.02 02:00:00,2026.05.02 02:15:00
9,BUY,2026-05-04 14:00:00+00:00,2026-05-04 14:15:00+00:00,4558.33,4526.0,4590.66,4592.067691661039,37.00979755816789,CANCELLED,2026.05.04 17:00:00,2026.05.04 17:15:00
10,SELL,2026-05-04 21:45:00+00:00,2026-05-04 22:00:00+00:00,4515.06,4525.41,4504.71,4556.346356849214,37.41613248757222,CANCELLED,2026.05.05 00:45:00,2026.05.05 01:00:00
11,SELL,2026-05-05 19:45:00+00:00,2026-05-05 20:00:00+00:00,4560.7,4568.83,4552.57,4558.583066478395,21.623618131250446,TP,2026.05.05 22:45:00,2026.05.05 23:00:00
12,BUY,2026-05-06 02:15:00+00:00,2026-05-06 02:30:00+00:00,4569.51,4546.31,4592.71,4559.825025456118,29.63745617612318,CANCELLED,2026.05.06 05:15:00,2026.05.06 05:30:00
13,BUY,2026-05-06 14:00:00+00:00,2026-05-06 14:15:00+00:00,4707.59,4695.54,4719.64,4647.431654632301,62.968017512393224,CANCELLED,2026.05.06 17:00:00,2026.05.06 17:15:00
14,SELL,2026-05-07 07:15:00+00:00,2026-05-07 07:30:00+00:00,4700.92,4704.97,4696.87,4691.738416844696,14.275878717224227,CANCELLED,2026.05.07 10:15:00,2026.05.07 10:30:00
15,SELL,2026-05-07 18:45:00+00:00,2026-05-07 19:00:00+00:00,4747.18,4764.73,4729.63,4728.9431536164075,13.664640787373248,CANCELLED,2026.05.07 21:45:00,2026.05.07 22:00:00
16,SELL,2026-05-08 13:00:00+00:00,2026-05-08 13:15:00+00:00,4714.02,4722.86,4705.18,4715.48053878977,15.268129984155097,CANCELLED,2026.05.08 16:00:00,2026.05.08 16:15:00
17,BUY,2026-05-08 16:00:00+00:00,2026-05-08 16:15:00+00:00,4719.34,4702.76,4735.92,4716.761059742651,11.697700016860379,CANCELLED,2026.05.08 19:00:00,2026.05.08 19:15:00
18,BUY,2026-05-08 20:45:00+00:00,2026-05-08 21:00:00+00:00,4719.3,4712.04,4726.56,4717.604849521134,9.23469892874938,CANCELLED,2026.05.08 23:45:00,2026.05.09 00:00:00
19,SELL,2026-05-08 23:30:00+00:00,2026-05-08 23:45:00+00:00,4719.97,4726.25,4713.69,4719.127888949183,10.492187226315968,CANCELLED,2026.05.09 02:30:00,2026.05.09 02:45:00
20,SELL,2026-05-11 07:15:00+00:00,2026-05-11 07:30:00+00:00,4679.88,4690.47,4669.29,4700.47261681966,35.747237831365396,CANCELLED,2026.05.11 10:15:00,2026.05.11 10:30:00
21,BUY,2026-05-11 23:15:00+00:00,2026-05-11 23:30:00+00:00,4730.03,4722.37,4737.69,4710.093150194279,16.008313070714912,CANCELLED,2026.05.12 02:15:00,2026.05.12 02:30:00
22,SELL,2026-05-12 04:45:00+00:00,2026-05-12 05:00:00+00:00,4738.86,4755.57,4722.15,4726.767807606976,30.562555538062966,CANCELLED,2026.05.12 07:45:00,2026.05.12 08:00:00
23,BUY,2026-05-12 20:30:00+00:00,2026-05-12 20:45:00+00:00,4677.02,4666.78,4687.26,4693.945407275829,37.94926124030883,CANCELLED,2026.05.12 23:30:00,2026.05.12 23:45:00
24,BUY,2026-05-12 22:00:00+00:00,2026-05-12 22:15:00+00:00,4690.75,4680.09,4701.41,4693.225407455393,29.415441820026125,CANCELLED,2026.05.13 01:00:00,2026.05.13 01:15:00
25,SELL,2026-05-13 06:00:00+00:00,2026-05-13 06:15:00+00:00,4697.07,4704.14,4690.0,4703.128582052386,30.097644225698613,SL,2026.05.13 09:00:00,2026.05.13 09:15:00
26,BUY,2026-05-13 06:45:00+00:00,2026-05-13 07:00:00+00:00,4700.22,4688.82,4711.62,4702.844195439774,26.560170186227907,CANCELLED,2026.05.13 09:45:00,2026.05.13 10:00:00
27,SELL,2026-05-13 15:45:00+00:00,2026-05-13 16:00:00+00:00,4687.89,4701.72,4674.06,4699.104319241811,14.459281191328694,CANCELLED,2026.05.13 18:45:00,2026.05.13 19:00:00
28,SELL,2026-05-13 22:00:00+00:00,2026-05-13 22:15:00+00:00,4687.73,4694.21,4681.25,4694.584425613637,15.155813457189275,CANCELLED,2026.05.14 01:00:00,2026.05.14 01:15:00
29,BUY,2026-05-14 07:45:00+00:00,2026-05-14 08:00:00+00:00,4701.44,4668.62,4734.26,4693.111180964041,21.190663828214426,CANCELLED,2026.05.14 10:45:00,2026.05.14 11:00:00
30,BUY,2026-05-14 10:00:00+00:00,2026-05-14 10:15:00+00:00,4694.76,4686.41,4703.11,4693.599953145328,13.920486249971862,CANCELLED,2026.05.14 13:00:00,2026.05.14 13:15:00
