time,open,high,low,close,tick_volume,spread,real_volume
2026-04-17 03:00:00+00:00,4791.92,4791.92,4785.88,4790.12,3920,8,0
2026-04-17 03:15:00+00:00,4790.11,4793.03,4787.58,4793.0,3623,10,0
2026-04-17 03:30:00+00:00,4792.99,4798.55,4792.55,4798.44,3509,10,0
2026-04-17 03:45:00+00:00,4798.69,4801.31,4793.89,4794.97,3379,8,0
2026-04-17 04:00:00+00:00,4794.98,4795.67,4769.4,4779.11,6207,8,0
2026-04-17 04:15:00+00:00,4779.09,4785.19,4767.77,4768.76,5998,8,0
2026-04-17 04:30:00+00:00,4768.75,4777.83,4767.72,4777.78,5684,8,0
2026-04-17 04:45:00+00:00,4777.79,4791.58,4775.41,4789.6,5154,8,0
2026-04-17 05:00:00+00:00,4789.58,4794.46,4788.38,4791.42,4545,8,0
2026-04-17 05:15:00+00:00,4791.5,4792.06,4788.53,4789.17,2369,8,0
2026-04-17 05:30:00+00:00,4789.18,4794.91,4788.52,4791.56,4161,10,0
2026-04-17 05:45:00+00:00,4791.57,4793.59,4784.4,4784.62,3651,8,0
2026-04-17 06:00:00+00:00,4784.5,4797.87,4784.47,4796.05,4621,8,0
2026-04-17 06:15:00+00:00,4796.02,4798.28,4792.94,4794.14,4074,8,0
2026-04-17 06:30:00+00:00,4794.07,4795.23,4791.95,4794.32,2287,8,0
2026-04-17 06:45:00+00:00,4794.33,4796.74,4792.89,4793.3,1885,8,0
2026-04-17 07:00:00+00:00,4793.27,4796.36,4792.69,4795.44,1822,8,0
2026-04-17 07:15:00+00:00,4795.46,4796.3,4793.77,4796.11,1572,10,0
2026-04-17 07:30:00+00:00,4796.18,4801.46,4795.46,4801.1,1724,8,0
2026-04-17 07:45:00+00:00,4801.11,4804.59,4798.62,4803.13,1985,8,0
2026-04-17 08:00:00+00:00,4803.05,4806.26,4799.75,4805.02,2828,8,0
2026-04-17 08:15:00+00:00,4805.0,4805.39,4801.54,4803.51,2129,10,0
2026-04-17 08:30:00+00:00,4803.63,4805.43,4795.69,4796.51,4244,10,0
2026-04-17 08:45:00+00:00,4796.64,4800.53,4793.74,4794.22,4063,8,0
2026-04-17 09:00:00+00:00,4794.21,4795.27,4786.83,4787.64,4544,8,0
2026-04-17 09:15:00+00:00,4787.63,4789.87,4783.27,4783.83,3984,8,0
2026-04-17 09:30:00+00:00,4783.81,4787.12,4779.19,4785.45,4506,8,0
2026-04-17 09:45:00+00:00,4785.54,4787.24,4783.98,4785.1,4025,8,0
2026-04-17 10:00:00+00:00,4785.12,4791.12,4784.19,4787.23,3707,8,0
2026-04-17 10:15:00+00:00,4787.26,4793.0,4784.74,4791.74,2802,8,0
2026-04-17 10:30:00+00:00,4791.73,4794.77,4782.49,4785.92,2949,8,0
2026-04-17 10:45:00+00:00,4785.9,4786.23,4778.74,4784.32,3608,8,0
2026-04-17 11:00:00+00:00,4784.36,4791.12,4780.78,4783.55,3211,8,0
2026-04-17 11:15:00+00:00,4783.56,4787.21,4782.64,4784.4,2746,8,0
2026-04-17 11:30:00+00:00,4784.41,4796.86,4784.36,4796.85,2743,8,0
2026-04-17 11:45:00+00:00,4796.75,4796.86,4791.0,4795.89,3307,8,0
2026-04-17 12:00:00+00:00,4795.91,4800.91,4792.69,4793.06,2854,8,0
2026-04-17 12:15:00+00:00,4793.08,4798.45,4791.98,4795.92,2795,8,0
2026-04-17 12:30:00+00:00,4795.96,4799.18,4794.13,4794.73,2524,8,0
2026-04-17 12:45:00+00:00,4794.8,4795.29,4790.03,4790.35,2798,8,0
