signal_id,role,bar_utc,open,high,low,close,spread,bar_utc_chart_label
1,context,2026-07-30 11:50:00+00:00,4063.81,4064.36,4059.73,4060.33,8.0,2026.07.30 14:50:00
1,before_spike,2026-07-30 11:55:00+00:00,4060.31,4062.08,4059.53,4061.47,8.0,2026.07.30 14:55:00
1,spike,2026-07-30 12:00:00+00:00,4061.46,4067.48,4060.42,4066.58,8.0,2026.07.30 15:00:00
1,after_spike,2026-07-30 12:05:00+00:00,4066.43,4068.97,4065.8,4067.59,10.0,2026.07.30 15:05:00
1,signal,2026-07-30 12:10:00+00:00,4067.35,4068.79,4065.0,4066.14,8.0,2026.07.30 15:10:00
2,context,2026-07-30 21:50:00+00:00,4100.92,4101.46,4098.91,4099.05,8.0,2026.07.31 00:50:00
2,before_spike,2026-07-30 21:55:00+00:00,4099.1,4100.26,4098.88,4099.9,8.0,2026.07.31 00:55:00
2,spike,2026-07-30 22:00:00+00:00,4099.63,4103.58,4098.86,4103.51,8.0,2026.07.31 01:00:00
2,after_spike,2026-07-30 22:05:00+00:00,4103.55,4105.46,4102.77,4105.38,8.0,2026.07.31 01:05:00
2,signal,2026-07-30 22:10:00+00:00,4105.41,4105.74,4103.1,4104.7,8.0,2026.07.31 01:10:00
3,context,2026-07-30 23:30:00+00:00,4112.19,4112.37,4107.68,4109.16,10.0,2026.07.31 02:30:00
3,before_spike,2026-07-30 23:35:00+00:00,4108.96,4109.01,4106.26,4106.87,10.0,2026.07.31 02:35:00
3,spike,2026-07-30 23:40:00+00:00,4106.86,4107.28,4102.33,4102.75,10.0,2026.07.31 02:40:00
3,after_spike,2026-07-30 23:45:00+00:00,4102.74,4103.57,4099.96,4100.1,18.0,2026.07.31 02:45:00
3,signal,2026-07-30 23:50:00+00:00,4100.04,4102.75,4099.04,4101.46,18.0,2026.07.31 02:50:00
4,context,2026-07-31 01:25:00+00:00,4107.63,4108.42,4106.94,4107.75,10.0,2026.07.31 04:25:00
4,before_spike,2026-07-31 01:30:00+00:00,4107.64,4108.33,4107.04,4108.04,10.0,2026.07.31 04:30:00
4,spike,2026-07-31 01:35:00+00:00,4108.1,4110.48,4107.96,4110.17,10.0,2026.07.31 04:35:00
4,after_spike,2026-07-31 01:40:00+00:00,4110.01,4110.45,4109.55,4110.44,14.0,2026.07.31 04:40:00
4,signal,2026-07-31 01:45:00+00:00,4110.52,4111.05,4109.06,4110.84,8.0,2026.07.31 04:45:00
5,context,2026-07-31 02:00:00+00:00,4109.19,4111.24,4109.19,4110.81,10.0,2026.07.31 05:00:00
5,before_spike,2026-07-31 02:05:00+00:00,4110.76,4111.78,4109.08,4109.62,10.0,2026.07.31 05:05:00
5,spike,2026-07-31 02:10:00+00:00,4109.65,4109.65,4106.59,4107.47,10.0,2026.07.31 05:10:00
5,after_spike,2026-07-31 02:15:00+00:00,4107.4,4107.56,4106.06,4106.55,8.0,2026.07.31 05:15:00
5,signal,2026-07-31 02:20:00+00:00,4106.61,4107.04,4104.62,4106.14,10.0,2026.07.31 05:20:00
6,context,2026-07-31 11:55:00+00:00,4058.5,4064.44,4058.24,4060.98,8.0,2026.07.31 14:55:00
6,before_spike,2026-07-31 12:00:00+00:00,4060.88,4063.99,4060.48,4060.56,10.0,2026.07.31 15:00:00
6,spike,2026-07-31 12:05:00+00:00,4060.57,4061.9,4058.05,4058.06,10.0,2026.07.31 15:05:00
6,after_spike,2026-07-31 12:10:00+00:00,4057.84,4058.06,4055.19,4056.64,8.0,2026.07.31 15:10:00
6,signal,2026-07-31 12:15:00+00:00,4056.77,4057.18,4054.47,4055.7,8.0,2026.07.31 15:15:00
7,context,2026-07-31 12:10:00+00:00,4057.84,4058.06,4055.19,4056.64,8.0,2026.07.31 15:10:00
7,before_spike,2026-07-31 12:15:00+00:00,4056.77,4057.18,4054.47,4055.7,8.0,2026.07.31 15:15:00
7,spike,2026-07-31 12:20:00+00:00,4055.68,4057.47,4051.79,4052.71,8.0,2026.07.31 15:20:00
7,after_spike,2026-07-31 12:25:00+00:00,4052.64,4053.27,4051.34,4052.13,8.0,2026.07.31 15:25:00
7,signal,2026-07-31 12:30:00+00:00,4052.15,4054.55,4051.25,4051.25,8.0,2026.07.31 15:30:00
8,context,2026-07-31 14:20:00+00:00,4056.88,4061.13,4056.11,4060.86,8.0,2026.07.31 17:20:00
8,before_spike,2026-07-31 14:25:00+00:00,4060.85,4060.85,4057.77,4058.85,8.0,2026.07.31 17:25:00
8,spike,2026-07-31 14:30:00+00:00,4058.79,4058.79,4053.48,4054.22,8.0,2026.07.31 17:30:00
8,after_spike,2026-07-31 14:35:00+00:00,4054.21,4055.68,4052.79,4053.11,8.0,2026.07.31 17:35:00
